PriceList,Catalog,GradeGroup,Price,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-07,30,820,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-07,40,850,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-07,50,900,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-07,60,950,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-07,70,1050,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-07,F,1600,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-07,I,1800,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-08,10,750,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-08,20,790,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-08,30,820,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-08,40,850,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-08,50,900,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-08,60,950,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-08,70,1050,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-08,F,1600,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-08,I,1800,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-15,10,750,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-15,20,790,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-15,30,820,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-15,40,850,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-15,50,900,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-15,60,950,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-15,70,1050,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-15,F,1600,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-15,I,1800,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-16,10,750,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-16,20,790,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-16,30,820,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-16,40,850,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-16,50,900,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-16,60,950,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-16,70,1050,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-16,F,1600,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-16,I,1800,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-17,10,775,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-17,20,815,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-17,30,845,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-17,40,875,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-17,50,925,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-17,60,975,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-17,70,1075,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-17,F,1625,,,,,,,,,,,,,,,,,,
