,PriceList,Catalog,GradeGroup,Price
645,UFCA 1711E V4,30148-35,30,870
646,UFCA 1711E V4,30148-35,40,900
647,UFCA 1711E V4,30148-35,50,950
648,UFCA 1711E V4,30148-35,60,1000
650,UFCA 1711E V4,30148-35,F,1480
651,UFCA 1711E V4,30148-35,I,1600
652,UFCA 1711E V4,30148-36,10,800
653,UFCA 1711E V4,30148-36,20,840
654,UFCA 1711E V4,30148-36,30,870
655,UFCA 1711E V4,30148-36,40,900
656,UFCA 1711E V4,30148-36,50,950
657,UFCA 1711E V4,30148-36,60,1000
659,UFCA 1711E V4,30148-36,F,1480
660,UFCA 1711E V4,30148-36,I,1600
661,UFCA 1711E V4,30148-64,10,310
662,UFCA 1711E V4,30148-64,20,330
663,UFCA 1711E V4,30148-64,30,345
664,UFCA 1711E V4,30148-64,40,365
665,UFCA 1711E V4,30148-64,50,385
666,UFCA 1711E V4,30148-64,60,405
668,UFCA 1711E V4,30148-64,F,585
669,UFCA 1711E V4,30148-64,I,645
670,UFCA 1711E V4,30148-74,10,330
671,UFCA 1711E V4,30148-74,20,350
672,UFCA 1711E V4,30148-74,30,365
673,UFCA 1711E V4,30148-74,40,385
674,UFCA 1711E V4,30148-74,50,405
675,UFCA 1711E V4,30148-74,60,425
677,UFCA 1711E V4,30148-74,F,605
678,UFCA 1711E V4,30148-74,I,665
679,UFCA 1711E V4,30148-86,10,1350
680,UFCA 1711E V4,30148-86,20,1390
681,UFCA 1711E V4,30148-86,30,1420
682,UFCA 1711E V4,30148-86,40,1450
683,UFCA 1711E V4,30148-86,50,1500
684,UFCA 1711E V4,30148-86,60,1550
686,UFCA 1711E V4,30148-86,F,2200
687,UFCA 1711E V4,30148-86,I,2350
688,UFCA 1711E V4,30148-87,10,1350
689,UFCA 1711E V4,30148-87,20,1390
690,UFCA 1711E V4,30148-87,30,1420
691,UFCA 1711E V4,30148-87,40,1450
692,UFCA 1711E V4,30148-87,50,1500
