PriceList,Catalog,GradeGroup,Price,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-12,20,560,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-12,30,575,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-12,40,610,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-12,50,645,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-12,60,680,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-12,70,715,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-12,F,1135,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-12,I,1240,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-14,10,850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-14,20,870,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-14,30,885,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-14,40,900,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-14,50,920,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-14,60,940,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-14,70,960,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-14,F,1530,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-14,I,1650,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-15,10,850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-15,20,890,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-15,30,920,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-15,40,950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-15,50,1000,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-15,60,1050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-15,70,1100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-15,F,1700,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-15,I,1850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-16,10,850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-16,20,890,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-16,30,920,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-16,40,950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-16,50,1000,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-16,60,1050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-16,70,1100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-16,F,1700,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-16,I,1850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-19,10,850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-19,20,890,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-19,30,920,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-19,40,950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-19,50,1000,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-19,60,1050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-19,70,1100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-19,F,1700,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-19,I,1850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-20,10,850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-20,20,890,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-20,30,920,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-20,40,950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-20,50,1000,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-20,60,1050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-20,70,1100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-20,F,1700,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-20,I,1850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-35,10,850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-35,20,890,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-35,30,920,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-35,40,950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-35,50,1000,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-35,60,1050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-35,70,1100,,,,,,,,,,,,,,,,,,,,,,,
