PriceList,Catalog,GradeGroup,Price
UFCA 1711E V4,30195-91,30,945
UFCA 1711E V4,30195-91,40,975
UFCA 1711E V4,30195-91,50,1025
UFCA 1711E V4,30195-91,60,1075
UFCA 1711E V4,30195-91,70,1125
UFCA 1711E V4,30195-91,F,1725.0
UFCA 1711E V4,30195-91,I,1875.0
UFCA 1711E V4,30195-91,41,nan
UFCA 1711E V4,30195-91,42,nan
UFCA 1711E V4,30195-96,10,875
UFCA 1711E V4,30195-96,20,915
UFCA 1711E V4,30195-96,30,945
UFCA 1711E V4,30195-96,40,975
UFCA 1711E V4,30195-96,50,1025
UFCA 1711E V4,30195-96,60,1075
UFCA 1711E V4,30195-96,70,1125
UFCA 1711E V4,30195-96,F,1725.0
UFCA 1711E V4,30195-96,I,1875.0
UFCA 1711E V4,30195-96,41,nan
UFCA 1711E V4,30195-96,42,nan
UFCA 1711E V4,30195-97,10,875
UFCA 1711E V4,30195-97,20,915
UFCA 1711E V4,30195-97,30,945
UFCA 1711E V4,30195-97,40,975
UFCA 1711E V4,30195-97,50,1025
UFCA 1711E V4,30195-97,60,1075
UFCA 1711E V4,30195-97,70,1125
UFCA 1711E V4,30195-97,F,1725.0
UFCA 1711E V4,30195-97,I,1875.0
UFCA 1711E V4,30195-97,41,nan
UFCA 1711E V4,30195-97,42,nan
UFCA 1711E V4,30195-S3,10,1000
UFCA 1711E V4,30195-S3,20,1040
UFCA 1711E V4,30195-S3,30,1070
UFCA 1711E V4,30195-S3,40,1100
UFCA 1711E V4,30195-S3,50,1150
UFCA 1711E V4,30195-S3,60,1200
UFCA 1711E V4,30195-S3,70,1250
UFCA 1711E V4,30195-S3,F,1850.0
UFCA 1711E V4,30195-S3,I,2000.0
UFCA 1711E V4,30195-S3,41,nan
UFCA 1711E V4,30195-S3,42,nan
UFCA 1711E V4,30195-01,10,1000
UFCA 1711E V4,30195-01,20,1040
UFCA 1711E V4,30195-01,30,1070
UFCA 1711E V4,30195-01,40,1100
UFCA 1711E V4,30195-01,50,1150
UFCA 1711E V4,30195-01,60,1200
UFCA 1711E V4,30195-01,70,1250
UFCA 1711E V4,30195-01,F,1850.0
UFCA 1711E V4,30195-01,I,2000.0
UFCA 1711E V4,30195-01,41,nan
UFCA 1711E V4,30195-01,42,nan
UFCA 1711E V4,30195-02,10,500
UFCA 1711E V4,30195-02,20,520
UFCA 1711E V4,30195-02,30,535
UFCA 1711E V4,30195-02,40,555
UFCA 1711E V4,30195-02,50,575
UFCA 1711E V4,30195-02,60,595
UFCA 1711E V4,30195-02,70,615
UFCA 1711E V4,30195-02,F,925.0
UFCA 1711E V4,30195-02,I,1000.0
UFCA 1711E V4,30195-02,41,nan
UFCA 1711E V4,30195-02,42,nan
UFCA 1711E V4,30195-03,10,950
UFCA 1711E V4,30195-03,20,990
UFCA 1711E V4,30195-03,30,1020
UFCA 1711E V4,30195-03,40,1050
UFCA 1711E V4,30195-03,50,1100
UFCA 1711E V4,30195-03,60,1150
UFCA 1711E V4,30195-03,70,1200
UFCA 1711E V4,30195-03,F,1800.0
UFCA 1711E V4,30195-03,I,1950.0
UFCA 1711E V4,30195-03,41,nan
UFCA 1711E V4,30195-03,42,nan
UFCA 1711E V4,30195-24,10,450
UFCA 1711E V4,30195-24,20,470
UFCA 1711E V4,30195-24,30,485
UFCA 1711E V4,30195-24,40,505
UFCA 1711E V4,30195-24,50,525
UFCA 1711E V4,30195-24,60,545
UFCA 1711E V4,30195-24,70,565
UFCA 1711E V4,30195-24,F,790.0
UFCA 1711E V4,30195-24,I,850.0
UFCA 1711E V4,30195-24,41,nan
UFCA 1711E V4,30195-24,42,nan
UFCA 1711E V4,30195-91,10,975
UFCA 1711E V4,30195-91,20,1015
UFCA 1711E V4,30195-91,30,1045
